president,speech_date,year,title,url,source_file,word_count,self_count,collective_count,self_per_1k,collective_per_1k,self_share,speech_type,is_sotu_series,delivery_mode
Benjamin Harrison,1892-09-03,1892,"September 3, 1892: Speech Accepting the Republican Nomination",https://millercenter.org/the-presidency/presidential-speeches/september-3-1892-speech-accepting-republican-nomination,"Benjamin_Harrison_1892-09-03T15:59:00-05:00_September_3,_1892:_Speech_Accepting_the_Republican_Nomination.json",7835,55,112,7.02,14.29,0.3293,Other,False,written_era
Benjamin Harrison,1892-12-06,1892,"December 6, 1892: Fourth Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-6-1892-fourth-annual-message,"Benjamin_Harrison_1892-12-06T13:00:00-05:00_December_6,_1892:_Fourth_Annual_Message.json",13295,101,180,7.6,13.54,0.3594,Annual Message,True,written_era
Benjamin Harrison,1893-02-15,1893,"February 15, 1893: Message Regarding Hawaiian Annexation",https://millercenter.org/the-presidency/presidential-speeches/february-15-1893-message-regarding-hawaiian-annexation,"Benjamin_Harrison_1893-02-15T16:03:00-05:00_February_15,_1893:_Message_Regarding_Hawaiian_Annexation.json",655,5,1,7.63,1.53,0.8333,Other,False,written_era
Bill Clinton,1993-01-20,1993,"January 20, 1993: First Inaugural",https://millercenter.org/the-presidency/presidential-speeches/january-20-1993-first-inaugural,"Bill_Clinton_1993-01-20T13:00:00-05:00_January_20,_1993:_First_Inaugural.json",1600,15,124,9.38,77.5,0.1079,Other,False,spoken_era
Bill Clinton,1993-01-29,1993,"January 29, 1993: Press Conference on ""Gays in the Military""",https://millercenter.org/the-presidency/presidential-speeches/january-29-1993-press-conference-gays-military,"Bill_Clinton_1993-01-29T13:00:00-05:00_January_29,_1993:_Press_Conference_on_""Gays_in_the_Military"".json",2323,75,25,32.29,10.76,0.75,Press/News Conference,False,spoken_era
Bill Clinton,1993-02-05,1993,"February 5, 1993: Remarks at the Signing of the Family Medical Leave Act",,"Bill_Clinton_1993-02-05T13:00:00-05:00_February_5,_1993:_Remarks_at_the_Signing_of_the_Family_Medical_Leave_Act.json",1042,24,30,23.03,28.79,0.4444,Other,False,spoken_era
Bill Clinton,1993-02-17,1993,"February 17, 1993: Address Before a Joint Session of Congress",https://millercenter.org/the-presidency/presidential-speeches/february-17-1993-address-joint-session-congress,"Bill_Clinton_1993-02-17T13:00:00-05:00_February_17,_1993:_Address_Before_a_Joint_Session_of_Congress.json",6958,139,307,19.98,44.12,0.3117,Address to Congress,False,spoken_era
Bill Clinton,1993-04-30,1993,"April 30, 1993: National Service Address",https://millercenter.org/the-presidency/presidential-speeches/april-30-1993-national-service-address,"Bill_Clinton_1993-04-30T14:00:00-04:00_April_30,_1993:_National_Service_Address.json",5062,103,134,20.35,26.47,0.4346,Other,False,spoken_era
Bill Clinton,1993-05-05,1993,"May 5, 1993: Remarks on Operation Restore Hope",https://millercenter.org/the-presidency/presidential-speeches/may-5-1993-remarks-operation-restore-hope,"Bill_Clinton_1993-05-05T14:00:00-04:00_May_5,_1993:_Remarks_on_Operation_Restore_Hope.json",992,4,33,4.03,33.27,0.1081,Other,False,spoken_era
Bill Clinton,1993-06-06,1993,"June 6, 1993: Speech at the 25th Anniversary Memorial Mass for Robert F. Kennedy",https://millercenter.org/the-presidency/presidential-speeches/june-6-1993-speech-25th-anniversary-memorial-mass-robert-f,"Bill_Clinton_1993-06-06T14:00:00-04:00_June_6,_1993:_Speech_at_the_25th_Anniversary_Memorial_Mass_for_Robert_F._Kennedy.json",1084,10,47,9.23,43.36,0.1754,Other,False,spoken_era
Bill Clinton,1993-09-13,1993,"September 13, 1993: Remarks at the Signing of the Israeli-Palestinian Agreement",https://millercenter.org/the-presidency/presidential-speeches/september-13-1993-remarks-signing-israeli-palestinian,"Bill_Clinton_1993-09-13T14:00:00-04:00_September_13,_1993:_Remarks_at_the_Signing_of_the_Israeli-Palestinian_Agreement.json",1130,1,30,0.88,26.55,0.0323,Other,False,spoken_era
Bill Clinton,1993-09-22,1993,"September 22, 1993: Address on Health Care Reform",https://millercenter.org/the-presidency/presidential-speeches/september-22-1993-address-health-care-reform,"Bill_Clinton_1993-09-22T14:00:00-04:00_September_22,_1993:_Address_on_Health_Care_Reform.json",7154,80,282,11.18,39.42,0.221,Other,False,spoken_era
Bill Clinton,1993-10-07,1993,"October 7, 1993: Address on Somalia",https://millercenter.org/the-presidency/presidential-speeches/october-7-1993-address-somalia,"Bill_Clinton_1993-10-07T13:00:00-04:00_October_7,_1993:_Address_on_Somalia.json",1854,25,111,13.48,59.87,0.1838,Other,False,spoken_era
Bill Clinton,1993-11-13,1993,"November 13, 1993: Remarks to the Convocation of the Church of God in Christ in Memphis",https://millercenter.org/the-presidency/presidential-speeches/november-13-1993-remarks-convocation-church-god-christ-memphis,"Bill_Clinton_1993-11-13T13:00:00-05:00_November_13,_1993:_Remarks_to_the_Convocation_of_the_Church_of_God_in_Christ_in_Memphis.json",4268,125,160,29.29,37.49,0.4386,Other,False,spoken_era
Bill Clinton,1993-12-08,1993,"December 8, 1993: Remarks on the Signing of NAFTA",https://millercenter.org/the-presidency/presidential-speeches/december-8-1993-remarks-signing-nafta,"Bill_Clinton_1993-12-08T13:00:00-05:00_December_8,_1993:_Remarks_on_the_Signing_of_NAFTA.json",2580,58,126,22.48,48.84,0.3152,Other,False,spoken_era
Bill Clinton,1994-01-25,1994,"January 25, 1994: State of the Union Address",https://millercenter.org/the-presidency/presidential-speeches/january-25-1994-state-union-address,"Bill_Clinton_1994-01-25T13:00:00-05:00_January_25,_1994:_State_of_the_Union_Address.json",7376,116,313,15.73,42.43,0.2704,State of the Union,True,spoken_era
Bill Clinton,1994-06-06,1994,"June 6, 1994: Remarks at the U.S. National Cemetery",https://millercenter.org/the-presidency/presidential-speeches/june-6-1994-remarks-us-national-cemetery,"Bill_Clinton_1994-06-06T14:00:00-04:00_June_6,_1994:_Remarks_at_the_U.S._National_Cemetery.json",1309,3,46,2.29,35.14,0.0612,Other,False,spoken_era
Bill Clinton,1994-07-12,1994,"July 12, 1994: Remarks at the Brandenburg Gate",https://millercenter.org/the-presidency/presidential-speeches/july-12-1994-remarks-brandenburg-gate,"Bill_Clinton_1994-07-12T14:00:00-04:00_July_12,_1994:_Remarks_at_the_Brandenburg_Gate.json",749,7,18,9.35,24.03,0.28,Other,False,spoken_era
Bill Clinton,1995-01-24,1995,"January 24, 1995: State of the Union Address",https://millercenter.org/the-presidency/presidential-speeches/january-24-1995-state-union-address,"Bill_Clinton_1995-01-24T13:00:00-05:00_January_24,_1995:_State_of_the_Union_Address.json",9160,155,422,16.92,46.07,0.2686,State of the Union,True,spoken_era
Bill Clinton,1995-04-23,1995,"April 23, 1995: Time for Healing Ceremony",https://millercenter.org/the-presidency/presidential-speeches/april-23-1995-time-healing-ceremony,"Bill_Clinton_1995-04-23T14:00:00-04:00_April_23,_1995:_Time_for_Healing_Ceremony.json",910,12,45,13.19,49.45,0.2105,Other,False,spoken_era
Bill Clinton,1995-07-19,1995,"July 19, 1995: Address on Affirmative Action",https://millercenter.org/the-presidency/presidential-speeches/july-19-1995-address-affirmative-action,"Bill_Clinton_1995-07-19T14:00:00-04:00_July_19,_1995:_Address_on_Affirmative_Action.json",6430,94,199,14.62,30.95,0.3208,Other,False,spoken_era
Bill Clinton,1995-10-16,1995,"October 16, 1995: Address on Race Relations",https://millercenter.org/the-presidency/presidential-speeches/october-16-1995-address-race-relations,"Bill_Clinton_1995-10-16T13:00:00-04:00_October_16,_1995:_Address_on_Race_Relations.json",4635,89,144,19.2,31.07,0.382,Other,False,spoken_era
Bill Clinton,1995-11-27,1995,"November 27, 1995: Address on Bosnia",https://millercenter.org/the-presidency/presidential-speeches/november-27-1995-address-bosnia,"Bill_Clinton_1995-11-27T13:00:00-05:00_November_27,_1995:_Address_on_Bosnia.json",2913,33,120,11.33,41.19,0.2157,Other,False,spoken_era
Bill Clinton,1995-11-30,1995,"November 30, 1995: Address to the Employees of the Mackie Metal Plant",https://millercenter.org/the-presidency/presidential-speeches/november-30-1995-address-employees-mackie-metal-plant,"Bill_Clinton_1995-11-30T13:00:00-05:00_November_30,_1995:_Address_to_the_Employees_of_the_Mackie_Metal_Plant.json",3036,41,64,13.5,21.08,0.3905,Other,False,spoken_era
Bill Clinton,1996-01-23,1996,"January 23, 1996: State of the Union Address",https://millercenter.org/the-presidency/presidential-speeches/january-23-1996-state-union-address,"Bill_Clinton_1996-01-23T13:00:00-05:00_January_23,_1996:_State_of_the_Union_Address.json",6312,106,291,16.79,46.1,0.267,State of the Union,True,spoken_era
Bill Clinton,1996-06-25,1996,"June 25, 1996: Victims Rights Announcement",https://millercenter.org/the-presidency/presidential-speeches/june-25-1996-victims-rights-announcement,"Bill_Clinton_1996-06-25T14:00:00-04:00_June_25,_1996:_Victims_Rights_Announcement.json",1902,32,36,16.82,18.93,0.4706,Other,False,spoken_era
Bill Clinton,1996-08-29,1996,"August 29, 1996: Remarks at the Democratic National Convention",https://millercenter.org/the-presidency/presidential-speeches/august-29-1996-remarks-democratic-national-convention,"Bill_Clinton_1996-08-29T14:00:00-04:00_August_29,_1996:_Remarks_at_the_Democratic_National_Convention.json",7036,172,323,24.45,45.91,0.3475,Other,False,spoken_era
Bill Clinton,1996-10-06,1996,"October 6, 1996: Presidential Debate with Senator Bob Dole",https://millercenter.org/the-presidency/presidential-speeches/october-6-1996-presidential-debate-senator-bob-dole,"Bill_Clinton_1996-10-06T14:00:00-04:00_October_6,_1996:_Presidential_Debate_with_Senator_Bob_Dole.json",16918,674,441,39.84,26.07,0.6045,Debate,False,spoken_era
Bill Clinton,1996-11-03,1996,"November 3, 1996: Remarks to the Congregation of St. Paul's AME Church",https://millercenter.org/the-presidency/presidential-speeches/november-3-1996-remarks-congregation-st-pauls-ame-church,"Bill_Clinton_1996-11-03T13:00:00-05:00_November_3,_1996:_Remarks_to_the_Congregation_of_St._Paul's_AME_Church.json",3150,55,175,17.46,55.56,0.2391,Other,False,spoken_era
Bill Clinton,1997-01-20,1997,"January 20, 1997: Second Inaugural",https://millercenter.org/the-presidency/presidential-speeches/january-20-1997-second-inaugural,"Bill_Clinton_1997-01-20T13:00:00-05:00_January_20,_1997:_Second_Inaugural.json",2158,8,134,3.71,62.09,0.0563,Other,False,spoken_era
Bill Clinton,1997-02-04,1997,"February 4, 1997: State of the Union Address",https://millercenter.org/the-presidency/presidential-speeches/february-4-1997-state-union-address,"Bill_Clinton_1997-02-04T13:00:00-05:00_February_4,_1997:_State_of_the_Union_Address.json",6723,83,353,12.35,52.51,0.1904,State of the Union,True,spoken_era
Bill Clinton,1997-04-22,1997,"April 22, 1997: Address to the People and Relief Workers of Grand Forks, ND",https://millercenter.org/the-presidency/presidential-speeches/april-22-1997-address-people-and-relief-workers-grand-forks-nd,"Bill_Clinton_1997-04-22T14:00:00-04:00_April_22,_1997:_Address_to_the_People_and_Relief_Workers_of_Grand_Forks,_ND.json",1212,40,29,33.0,23.93,0.5797,Other,False,spoken_era
Bill Clinton,1998-01-26,1998,"January 26, 1998: Response to the Lewinsky Allegations",https://millercenter.org/the-presidency/presidential-speeches/january-26-1998-response-lewinsky-allegations,"Bill_Clinton_1998-01-26T13:00:00-05:00_January_26,_1998:_Response_to_the_Lewinsky_Allegations.json",942,33,24,35.03,25.48,0.5789,Other,False,spoken_era
Bill Clinton,1998-01-27,1998,"January 27, 1998: State of the Union Address",https://millercenter.org/the-presidency/presidential-speeches/january-27-1998-state-union-address,"Bill_Clinton_1998-01-27T13:00:00-05:00_January_27,_1998:_State_of_the_Union_Address.json",7292,109,308,14.95,42.24,0.2614,State of the Union,True,spoken_era
Bill Clinton,1998-03-23,1998,"March 23, 1998: Remarks to the People of Ghana",https://millercenter.org/the-presidency/presidential-speeches/march-23-1998-remarks-people-ghana,"Bill_Clinton_1998-03-23T13:00:00-05:00_March_23,_1998:_Remarks_to_the_People_of_Ghana.json",1663,19,53,11.43,31.87,0.2639,Other,False,spoken_era
Bill Clinton,1998-03-25,1998,"March 25, 1998: Remarks to the People of Rwanda",https://millercenter.org/the-presidency/presidential-speeches/march-25-1998-remarks-people-rwanda,"Bill_Clinton_1998-03-25T13:00:00-05:00_March_25,_1998:_Remarks_to_the_People_of_Rwanda.json",2236,29,77,12.97,34.44,0.2736,Other,False,spoken_era
Bill Clinton,1998-08-17,1998,"August 17, 1998: Statement on His Testimony Before the Grand Jury",https://millercenter.org/the-presidency/presidential-speeches/august-17-1998-statement-his-testimony-grand-jury,"Bill_Clinton_1998-08-17T14:00:00-04:00_August_17,_1998:_Statement_on_His_Testimony_Before_the_Grand_Jury.json",539,48,8,89.05,14.84,0.8571,Other,False,spoken_era
Bill Clinton,1999-01-19,1999,"January 19, 1999: State of the Union Address",https://millercenter.org/the-presidency/presidential-speeches/january-19-1999-state-union-address,"Bill_Clinton_1999-01-19T13:00:00-05:00_January_19,_1999:_State_of_the_Union_Address.json",7466,115,362,15.4,48.49,0.2411,State of the Union,True,spoken_era
Bill Clinton,1999-03-24,1999,"March 24, 1999: Statement on Kosovo",https://millercenter.org/the-presidency/presidential-speeches/march-24-1999-statement-kosovo,"Bill_Clinton_1999-03-24T13:00:00-05:00_March_24,_1999:_Statement_on_Kosovo.json",1897,12,84,6.33,44.28,0.125,Other,False,spoken_era
Bill Clinton,1999-06-10,1999,"June 10, 1999: Address on the Kosovo Agreement",https://millercenter.org/the-presidency/presidential-speeches/june-10-1999-address-kosovo-agreement,"Bill_Clinton_1999-06-10T14:00:00-04:00_June_10,_1999:_Address_on_the_Kosovo_Agreement.json",1669,18,49,10.78,29.36,0.2687,Other,False,spoken_era
Bill Clinton,2000-01-27,2000,"January 27, 2000: State of the Union Address",https://millercenter.org/the-presidency/presidential-speeches/january-27-2000-state-union-address,"Bill_Clinton_2000-01-27T13:00:00-05:00_January_27,_2000:_State_of_the_Union_Address.json",9037,178,412,19.7,45.59,0.3017,State of the Union,True,spoken_era
Bill Clinton,2001-01-18,2001,"January 18, 2001: Farewell Address",https://millercenter.org/the-presidency/presidential-speeches/january-18-2001-farewell-address,"Bill_Clinton_2001-01-18T13:00:00-05:00_January_18,_2001:_Farewell_Address.json",1102,26,55,23.59,49.91,0.321,Farewell Address,False,spoken_era
Calvin Coolidge,1923-12-06,1923,"December 6, 1923: First Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-6-1923-first-annual-message,"Calvin_Coolidge_1923-12-06T13:00:00-05:00_December_6,_1923:_First_Annual_Message.json",6694,34,124,5.08,18.52,0.2152,Annual Message,True,spoken_era
Calvin Coolidge,1924-12-03,1924,"December 3, 1924: Second Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-3-1924-second-annual-message,"Calvin_Coolidge_1924-12-03T13:00:00-05:00_December_3,_1924:_Second_Annual_Message.json",6945,54,128,7.78,18.43,0.2967,Annual Message,True,spoken_era
Calvin Coolidge,1925-03-04,1925,"March 4, 1925: Inaugural Address",https://millercenter.org/the-presidency/presidential-speeches/march-4-1925-inaugural-address,"Calvin_Coolidge_1925-03-04T13:00:00-05:00_March_4,_1925:_Inaugural_Address.json",4053,10,155,2.47,38.24,0.0606,Inaugural Address,False,spoken_era
Calvin Coolidge,1925-07-03,1925,"July 3, 1925: Centennial of Washington’s Command of the Continental Army",https://millercenter.org/the-presidency/presidential-speeches/july-3-1925-centennial-washingtons-command-continental-army,"Calvin_Coolidge_1925-07-03T18:51:00-04:00_July_3,_1925:_Centennial_of_Washington’s_Command_of_the_Continental_Army.json",6302,14,44,2.22,6.98,0.2414,Other,False,spoken_era
Calvin Coolidge,1925-10-20,1925,"October 20, 1925: Message Regarding Relationship of Church and State",https://millercenter.org/the-presidency/presidential-speeches/october-20-1925-message-regarding-relationship-church-and,"Calvin_Coolidge_1925-10-20T18:52:00-05:00_October_20,_1925:_Message_Regarding_Relationship_of_Church_and_State.json",2408,27,47,11.21,19.52,0.3649,Other,False,spoken_era
Calvin Coolidge,1925-12-08,1925,"December 8, 1925: Third Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-8-1925-third-annual-message,"Calvin_Coolidge_1925-12-08T13:00:00-05:00_December_8,_1925:_Third_Annual_Message.json",10798,36,195,3.33,18.06,0.1558,Annual Message,True,spoken_era
Calvin Coolidge,1926-07-05,1926,"July 5, 1926: Declaration of Independence Anniversary Commemoration",https://millercenter.org/the-presidency/presidential-speeches/july-5-1926-declaration-independence-anniversary-commemoration,"Calvin_Coolidge_1926-07-05T18:54:00-04:00_July_5,_1926:_Declaration_of_Independence_Anniversary_Commemoration.json",4407,4,66,0.91,14.98,0.0571,Other,False,spoken_era
Calvin Coolidge,1926-12-07,1926,"December 7, 1926: Fourth Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-7-1926-fourth-annual-message,"Calvin_Coolidge_1926-12-07T13:00:00-05:00_December_7,_1926:_Fourth_Annual_Message.json",10249,45,210,4.39,20.49,0.1765,Annual Message,True,spoken_era
Calvin Coolidge,1927-02-22,1927,"February 22, 1927: Address Regarding Washington’s Birthday",https://millercenter.org/the-presidency/presidential-speeches/february-22-1927-address-regarding-washingtons-birthday,"Calvin_Coolidge_1927-02-22T18:56:00-05:00_February_22,_1927:_Address_Regarding_Washington’s_Birthday.json",4738,2,59,0.42,12.45,0.0328,Other,False,spoken_era
Calvin Coolidge,1927-08-10,1927,"August 10, 1927: Address at the Opening of Work on Mount Rushmore in Black Hills, SD",https://millercenter.org/the-presidency/presidential-speeches/august-10-1927-address-opening-work-mount-rushmore-black-hills,"Calvin_Coolidge_1927-08-10T13:00:00-04:00_August_10,_1927:_Address_at_the_Opening_of_Work_on_Mount_Rushmore_in_Black_Hills,_SD.json",1044,0,26,0.0,24.9,0.0,Other,False,spoken_era
Calvin Coolidge,1927-12-06,1927,"December 6, 1927: Fifth Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-6-1927-fifth-annual-message,"Calvin_Coolidge_1927-12-06T13:00:00-05:00_December_6,_1927:_Fifth_Annual_Message.json",8723,6,143,0.69,16.39,0.0403,Annual Message,True,spoken_era
Calvin Coolidge,1928-12-04,1928,"December 4, 1928: Sixth Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-4-1928-sixth-annual-message,"Calvin_Coolidge_1928-12-04T13:00:00-05:00_December_4,_1928:_Sixth_Annual_Message.json",8001,37,122,4.62,15.25,0.2327,Annual Message,True,spoken_era
Chester A. Arthur,1881-09-22,1881,"September 22, 1881: Address Upon Assuming the Office of the President",https://millercenter.org/the-presidency/presidential-speeches/september-22-1881-address-upon-assuming-office-president,"Chester_A._Arthur_1881-09-22T14:54:58-04:56_September_22,_1881:_Address_Upon_Assuming_the_Office_of_the_President.json",433,3,8,6.93,18.48,0.2727,Other,False,written_era
Chester A. Arthur,1881-12-06,1881,"December 6, 1881: First Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-6-1881-first-annual-message,"Chester_A._Arthur_1881-12-06T13:03:58-04:56_December_6,_1881:_First_Annual_Message.json",13079,97,101,7.42,7.72,0.4899,Annual Message,True,written_era
Chester A. Arthur,1882-04-04,1882,"April 4, 1882: Veto of the Chinese Exclusion Act",https://millercenter.org/the-presidency/presidential-speeches/april-4-1882-veto-chinese-exclusion-act,"Chester_A._Arthur_1882-04-04T14:57:58-04:56_April_4,_1882:_Veto_of_the_Chinese_Exclusion_Act.json",3002,25,36,8.33,11.99,0.4098,Other,False,written_era
Chester A. Arthur,1882-04-18,1882,"April 18, 1882: Message Regarding Congress of American Countries",https://millercenter.org/the-presidency/presidential-speeches/april-18-1882-message-regarding-congress-american-countries,"Chester_A._Arthur_1882-04-18T14:59:58-04:56_April_18,_1882:_Message_Regarding_Congress_of_American_Countries.json",1680,11,5,6.55,2.98,0.6875,Other,False,written_era
Chester A. Arthur,1882-07-01,1882,"July 1, 1882: Veto of Safety Regulations Bill",https://millercenter.org/the-presidency/presidential-speeches/july-1-1882-veto-safety-regulations-bill,"Chester_A._Arthur_1882-07-01T15:08:58-04:56_July_1,_1882:_Veto_of_Safety_Regulations_Bill.json",1194,11,1,9.21,0.84,0.9167,Other,False,written_era
Chester A. Arthur,1882-08-01,1882,"August 1, 1882: Veto of River and Harbors Act",https://millercenter.org/the-presidency/presidential-speeches/august-1-1882-veto-river-and-harbors-act,"Chester_A._Arthur_1882-08-01T15:09:58-04:56_August_1,_1882:_Veto_of_River_and_Harbors_Act.json",821,23,0,28.01,0.0,1.0,Other,False,written_era
Chester A. Arthur,1882-12-04,1882,"December 4, 1882: Second Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-4-1882-second-annual-message,"Chester_A._Arthur_1882-12-04T13:03:58-04:56_December_4,_1882:_Second_Annual_Message.json",10089,106,52,10.51,5.15,0.6709,Annual Message,True,written_era
Chester A. Arthur,1883-12-04,1883,"December 4, 1883: Third Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-4-1883-third-annual-message,"Chester_A._Arthur_1883-12-04T13:00:00-05:00_December_4,_1883:_Third_Annual_Message.json",8233,72,62,8.75,7.53,0.5373,Annual Message,True,written_era
Chester A. Arthur,1884-07-01,1884,"July 1, 1884: Message Regarding Settlement on Indian Territory",https://millercenter.org/the-presidency/presidential-speeches/july-1-1884-message-regarding-settlement-indian-territory,"Chester_A._Arthur_1884-07-01T15:10:00-05:00_July_1,_1884:_Message_Regarding_Settlement_on_Indian_Territory.json",331,4,0,12.08,0.0,1.0,Other,False,written_era
Chester A. Arthur,1884-12-01,1884,"December 1, 1884: Fourth Annual Message",https://millercenter.org/the-presidency/presidential-speeches/december-1-1884-fourth-annual-message,"Chester_A._Arthur_1884-12-01T13:00:00-05:00_December_1,_1884:_Fourth_Annual_Message.json",8808,71,85,8.06,9.65,0.4551,Annual Message,True,written_era
Chester A. Arthur,1884-12-10,1884,"December 10, 1884: Message Regarding Central American Canal",https://millercenter.org/the-presidency/presidential-speeches/december-10-1884-message-regarding-central-american-canal,"Chester_A._Arthur_1884-12-10T15:12:00-05:00_December_10,_1884:_Message_Regarding_Central_American_Canal.json",1839,6,13,3.26,7.07,0.3158,Other,False,written_era
Donald Trump,2017-01-20,2017,"January 20, 2017: Inaugural Address",https://millercenter.org/the-presidency/presidential-speeches/january-20-2017-inaugural-address,"Donald_Trump_2017-01-20T11:00:00-05:00_January_20,_2017:_Inaugural_Address.json",1434,4,99,2.79,69.04,0.0388,Inaugural Address,False,spoken_era
Donald Trump,2017-02-28,2017,"February 28, 2017: Address to Joint Session of Congress",https://millercenter.org/the-presidency/presidential-speeches/february-28-2017-address-joint-session-congress,"Donald_Trump_2017-02-28T20:00:00-05:00_February_28,_2017:_Address_to_Joint_Session_of_Congress.json",4664,51,229,10.93,49.1,0.1821,Address to Congress,False,spoken_era
Donald Trump,2017-06-29,2017,"June 29, 2017: Speech at the Unleashing American Energy Event",https://millercenter.org/the-presidency/presidential-speeches/june-29-2017-speech-unleashing-american-energy-event,"Donald_Trump_2017-06-29T15:30:00-04:00_June_29,_2017:_Speech_at_the_Unleashing_American_Energy_Event.json",2469,68,111,27.54,44.96,0.3799,Other,False,spoken_era
Donald Trump,2017-07-24,2017,"July 24, 2017: Speech at the Boy Scout Jamboree",,"Donald_Trump_2017-07-24T19:00:00-04:00_July_24,_2017:_Speech_at_the_Boy_Scout_Jamboree_.json",4283,114,93,26.62,21.71,0.5507,Other,False,spoken_era
Donald Trump,2017-09-19,2017,"September 19, 2017: Address to the United Nations General Assembly",,"Donald_Trump_2017-09-19T10:04:00-04:00_September_19,_2017:_Address_to_the_United_Nations_General_Assembly_.json",4579,18,169,3.93,36.91,0.0963,Other,False,spoken_era
Donald Trump,2017-12-18,2017,"December 18, 2017: Remarks on National Security Strategy",,"Donald_Trump_2017-12-18T14:00:00-05:00_December_18,_2017:_Remarks_on_National_Security_Strategy.json",3057,28,197,9.16,64.44,0.1244,Other,False,spoken_era
Donald Trump,2018-01-26,2018,"January 26, 2018: Address at the World Economic Forum",https://millercenter.org/the-presidency/presidential-speeches/january-26-2018-address-world-economic-forum,"Donald_Trump_2018-01-26T14:02:00-05:00_January_26,_2018:_Address_at_the_World_Economic_Forum.json",3703,102,141,27.55,38.08,0.4198,Other,False,spoken_era
Donald Trump,2018-01-30,2018,"January 30, 2018: State of the Union Address",https://millercenter.org/the-presidency/presidential-speeches/january-30-2018-state-union-address,"Donald_Trump_2018-01-30T21:00:00-05:00_January_30,_2018:_State_of_the_Union_Address.json",5127,43,244,8.39,47.59,0.1498,State of the Union,True,spoken_era
Donald Trump,2018-02-01,2018,"February 1, 2018: Remarks at the House and Senate Republican Member Conference",,"Donald_Trump_2018-02-01T14:00:00-05:00_February_1,_2018:_Remarks_at_the_House_and_Senate_Republican_Member_Conference.json",5504,126,286,22.89,51.96,0.3058,Other,False,spoken_era
Donald Trump,2018-02-15,2018,"February 15, 2018: Statement on the School Shooting in Parkland, Florida",,"Donald_Trump_2018-02-15T11:28:00-05:00_February_15,_2018:_Statement_on_the_School_Shooting_in_Parkland,_Florida.json",698,10,35,14.33,50.14,0.2222,Other,False,spoken_era
Donald Trump,2018-02-23,2018,"February 23, 2018: Remarks at the Conservative Political Action Conference",https://millercenter.org/the-presidency/presidential-speeches/february-23-2018-remarks-conservative-political-action,"Donald_Trump_2018-02-23T12:12:12-05:00_February_23,_2018:_Remarks_at_the_Conservative_Political_Action_Conference.json",9875,259,449,26.23,45.47,0.3658,Other,False,spoken_era
Donald Trump,2018-03-19,2018,"March 19, 2018: Remarks on Combating the Opioid Crisis",https://millercenter.org/the-presidency/presidential-speeches/march-19-2018-remarks-combating-opioid-crisis,"Donald_Trump_2018-03-19T14:35:00-04:00_March_19,_2018:_Remarks_on_Combating_the_Opioid_Crisis.json",4965,61,224,12.29,45.12,0.214,Other,False,spoken_era
Donald Trump,2018-07-24,2018,"July 24, 2018: Speech at the Veterans of Foreign Wars National Convention",https://millercenter.org/the-presidency/presidential-speeches/july-24-2018-speech-veterans-foreign-wars-national-convention,"Donald_Trump_2018-07-24T13:00:00-04:00_July_24,_2018:_Speech_at_the_Veterans_of_Foreign_Wars_National_Convention.json",6020,151,275,25.08,45.68,0.3545,Other,False,spoken_era
Donald Trump,2018-09-25,2018,"September 25, 2018: Address at the 73rd Session of the United Nations General Assembly",https://millercenter.org/the-presidency/presidential-speeches/september-25-2018-address-73rd-session-united-nations-general,"Donald_Trump_2018-09-25T10:30:00-04:00_September_25,_2018:_Address_at_the_73rd_Session_of_the_United_Nations_General_Assembly.json",3629,27,157,7.44,43.26,0.1467,Other,False,spoken_era
Donald Trump,2019-01-19,2019,"January 19, 2019: Remarks about the US Southern Border",,"Donald_Trump_2019-01-19T16:00:00-05:00_January_19,_2019:_Remarks_about_the_US_Southern_Border.json",1515,16,68,10.56,44.88,0.1905,Other,False,spoken_era
Donald Trump,2019-02-05,2019,"February 5, 2019: State of the Union Address",https://millercenter.org/the-presidency/presidential-speeches/february-5-2019-state-union-address,"Donald_Trump_2019-02-05T21:00:00-05:00_February_5,_2019:_State_of_the_Union_Address.json",5169,62,231,11.99,44.69,0.2116,State of the Union,True,spoken_era
Donald Trump,2019-02-15,2019,"February 15, 2019: Speech Declaring a National Emergency",https://millercenter.org/the-presidency/presidential-speeches/february-15-2019-speech-declaring-national-emergency,"Donald_Trump_2019-02-15T11:30:00-05:00_February_15,_2019:_Speech_Declaring_a_National_Emergency.json",8693,316,289,36.35,33.25,0.5223,Other,False,spoken_era
Donald Trump,2019-09-24,2019,"September 24, 2019: Remarks at the United Nations General Assembly",https://millercenter.org/the-presidency/presidential-speeches/september-24-2019-remarks-united-nations-general-assembly,"Donald_Trump_2019-09-24T10:12:00-04:00_September_24,_2019:_Remarks_at_the_United_Nations_General_Assembly.json",3847,29,125,7.54,32.49,0.1883,Other,False,spoken_era
